ФИО,Улица,Дом,Квартира,Год рождения,,,,,
Осипов Александр Тимофеевич,Улица Крупской,9,244,1975,,Ленинский проспект,,,Абрамова Кристина Андреевна
Кудрявцева Анна Тимофеевна,Улица Строителей,22,49,1959,,Улица Гарибальди,,,Александрова Василиса Ивановна
Филиппова Алиса Артёмовна,Улица Кравченко,9,172,1966,,Улица Вавилова,,,Алексеев Степан Семёнович
Островский Макар Глебович,Улица Гарибальди,22,146,1980,,Проспект Вернадского,,,Алексеев Матвей Яковлевич
Захарова Дарина Ярославовна,Улица Архитектора Власова,23,130,1987,,Улица Строителей,Нахимовский проспект,,Алешина Кристина Евгеньевна
Белова Анастасия Ивановна,Улица Марии Ульяновой,14,272,1965,,Улица Крупской,,,Ананьев Алексей Семёнович
Астахова София Ильинична,Улица Архитектора Власова,11,118,1960,,Улица Марии Ульяновой,,,Андреева Ева Андреевна
Константинов Александр Юрьевич,Улица Крупской,11,201,1965,,Улица Кравченко,,,Анохина Полина Кирилловна
Новикова Елизавета Дмитриевна,Улица Кравченко,8,39,1992,,Улица Панфёрова,,,Антонов Артём Платонович
Щеглова Мария Артёмовна,Улица Панфёрова,30,87,1985,,Улица Академика Пилюгина,,,Астахова София Ильинична
Петровская Анастасия Макаровна,Ленинский проспект,5,149,1990,,Улица Архитектора Власова,,,Астахова Виктория Васильевна
Куликова Мария Никитична,Ленинский проспект,13,164,1995,,Нахимовский проспект,,,Балашова Анна Савельевна
Жданов Кирилл Фёдорович,Нахимовский проспект,1,29,1959,,,,,Баранова Алиса Ивановна
Захаров Роман Денисович,Улица Академика Пилюгина,17,268,1982,,,,,Баранова Майя Михайловна
Ларина Александра Ярославовна,Улица Академика Пилюгина,15,148,1969,,,,,Баранова Василиса Александровна
Тихонова Мария Фёдоровна,Улица Вавилова,7,99,1998,,,,,Баранова Виктория Максимовна
Филимонова Анна Владимировна,Улица Кравченко,27,239,1996,,,,,Белов Максим Демидович
Калинин Даниил Артёмович,Улица Кравченко,15,72,1979,,,,,Белова София Львовна
Максимова Полина Максимовна,Улица Гарибальди,16,114,1966,,,,,Белова Анастасия Ивановна
Соколов Михаил Романович,Улица Вавилова,23,56,2000,,,,,Беляева Ева Данииловна
Иванов Максим Тимофеевич,Улица Марии Ульяновой,21,212,1977,,,,,Блохина Елизавета Ильинична
Воронина Полина Глебовна,Нахимовский проспект,15,146,1953,,,,,Богданов Владимир Маркович
Филиппова Надежда Ярославовна,Проспект Вернадского,3,271,1955,,,,,Васильев Кирилл Ильич
Литвинова Полина Лукинична,Улица Строителей,20,80,1992,,,,,Васильев Михаил Константинович
Самсонова Милана Матвеевна,Улица Вавилова,27,104,1979,,,,,Васильева София Николаевна
Овчинникова Ольга Ильинична,Проспект Вернадского,2,43,2005,,,,,Васильева Вероника Мироновна
Козлов Роман Сергеевич,Улица Кравченко,3,70,1976,,,,,Васильева София Марковна
Прокофьев Дмитрий Родионович,Улица Панфёрова,8,138,1987,,,,,Власова Алина Андреевна
Алексеев Степан Семёнович,Улица Гарибальди,13,92,1965,,,,,Волков Кирилл Маркович
Туманов Сергей Михайлович,Улица Марии Ульяновой,30,28,1977,,,,,Воронин Сергей Дмитриевич
Васильева София Николаевна,Улица Академика Пилюгина,24,127,1992,,,,,Воронина Полина Глебовна
Семенова Виктория Ивановна,Нахимовский проспект,3,184,1984,,,,,Герасимов Андрей Матвеевич
Васильева София Николаевна,Улица Академика Пилюгина,22,85,1965,,,,,Герасимов Артур Денисович
Пономарева Ирина Александровна,Улица Панфёрова,3,259,2003,,,,,Глухова Полина Андреевна
Гордеева Диана Михайловна,Проспект Вернадского,13,154,1996,,,,,Голиков Лев Никитич
Симонов Роман Андреевич,Улица Академика Пилюгина,9,209,1950,,,,,Голиков Кирилл Маркович
Егоров Глеб Семёнович,Улица Вавилова,21,189,1979,,,,,Гордеева Диана Михайловна
Ежова Ксения Георгиевна,Ленинский проспект,6,30,1970,,,,,Горелов Владимир Дмитриевич
Скворцов Максим Мирославович,Улица Кравченко,24,288,1966,,,,,Грачев Платон Русланович
Богданов Владимир Маркович,Улица Панфёрова,9,9,1973,,,,,Григорьев Пётр Александрович
Елизарова Антонина Игоревна,Улица Кравченко,12,152,1982,,,,,Гришина Кира Артемьевна
Карпова Арина Григорьевна,Улица Панфёрова,9,230,1980,,,,,Громова Кира Антоновна
Соколов Лев Владиславович,Проспект Вернадского,3,224,1964,,,,,Давыдов Кирилл Янович
Терентьева Арина Марковна,Нахимовский проспект,8,62,1977,,,,,Данилова Диана Тимуровна
Яковлев Леонид Константинович,Улица Архитектора Власова,5,188,1956,,,,,Денисов Илья Дмитриевич
Филиппова Надежда Ярославовна,Ленинский проспект,13,92,1967,,,,,Денисов Алексей Романович
Воронин Сергей Дмитриевич,Улица Кравченко,2,215,1966,,,,,Дмитриев Ярослав Романович
Иванов Даниил Олегович,Улица Кравченко,10,238,1992,,,,,Добрынин Дмитрий Тихонович
Самсонова Милана Матвеевна,Улица Кравченко,9,125,1993,,,,,Дорофеев Никита Александрович
Плотников Елисей Ильич,Улица Строителей,7,117,1970,,,,,Дорофеева Анна Фёдоровна
Петрова Алиса Степановна,Улица Крупской,3,186,1999,,,,,Дьякова Анастасия Александровна
